id;start_date;start_time;end_date;end_time;timespan;room_id;Repeats;Repeats Until
27;2024-01-04;15:15;2024-01-04;17:15;("2024-01-04 15:15","2024-01-04 17:15");3;Wöchentlich am Donnerstag;
28;2024-01-04;18:30;2024-01-04;19:30;("2024-01-04 18:30","2024-01-04 19:30");1;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
29;2024-01-04;18:30;2024-01-04;19:30;("2024-01-04 18:30","2024-01-04 19:30");3;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
30;2024-01-04;18:30;2024-01-04;19:30;("2024-01-04 18:30","2024-01-04 19:30");2;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
31;2024-01-04;18:30;2024-01-04;19:30;("2024-01-04 18:30","2024-01-04 19:30");4;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
32;2024-01-04;19:30;2024-01-04;22:00;("2024-01-04 19:30","2024-01-04 22:00");1;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
33;2024-01-05;8:30;2024-01-05;16:45;("2024-01-05 8:30","2024-01-05 16:45");5;;
34;2024-01-05;9:00;2024-01-05;18:00;("2024-01-05 9:00","2024-01-05 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
35;2024-01-05;17:00;2024-01-05;19:00;("2024-01-05 17:00","2024-01-05 19:00");3;;
36;2024-01-05;18:00;2024-01-05;20:00;("2024-01-05 18:00","2024-01-05 20:00");1;;
37;2024-01-05;19:30;2024-01-05;22:30;("2024-01-05 19:30","2024-01-05 22:30");5;Wöchentlich am Mittwoch und Freitag bis 13. Februar, 2024;2024-02-13
38;2024-01-07;13:00;2024-01-07;17:00;("2024-01-07 13:00","2024-01-07 17:00");5;Monatlich am 1. Sonntag;
39;2024-01-07;18:00;2024-01-07;20:00;("2024-01-07 18:00","2024-01-07 20:00");3;Wöchentlich am Sonntag bis 24. Februar, 2024;2024-02-24
40;2024-01-08;8:45;2024-01-08;11:30;("2024-01-08 8:45","2024-01-08 11:30");4;;
41;2024-01-08;9:00;2024-01-08;18:00;("2024-01-08 9:00","2024-01-08 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
42;2024-01-08;9:40;2024-01-08;11:00;("2024-01-08 9:40","2024-01-08 11:00");3;;
43;2024-01-08;10:00;2024-01-08;14:00;("2024-01-08 10:00","2024-01-08 14:00");5;;
44;2024-01-08;11:30;2024-01-08;12:30;("2024-01-08 11:30","2024-01-08 12:30");6;;
45;2024-01-08;11:30;2024-01-08;12:30;("2024-01-08 11:30","2024-01-08 12:30");2;;
46;2024-01-08;13:00;2024-01-08;15:00;("2024-01-08 13:00","2024-01-08 15:00");4;;
47;2024-01-08;14:00;2024-01-08;17:30;("2024-01-08 14:00","2024-01-08 17:30");6;;
48;2024-01-08;16:30;2024-01-08;17:30;("2024-01-08 16:30","2024-01-08 17:30");4;;
49;2024-01-08;18:00;2024-01-08;20:00;("2024-01-08 18:00","2024-01-08 20:00");5;;
50;2024-01-08;19:00;2024-01-08;21:00;("2024-01-08 19:00","2024-01-08 21:00");6;Monatlich am 2. Montag bis 9. Juli, 2024;2024-07-09
51;2024-01-08;19:00;2024-01-08;21:00;("2024-01-08 19:00","2024-01-08 21:00");3;Wöchentlich am Montag bis 14. Januar, 2024;2024-01-14
52;2024-01-08;19:00;2024-01-08;21:30;("2024-01-08 19:00","2024-01-08 21:30");1;;
53;2024-01-08;19:45;2024-01-08;22:00;("2024-01-08 19:45","2024-01-08 22:00");2;;
54;2024-01-08;20:00;2024-01-08;21:00;("2024-01-08 20:00","2024-01-08 21:00");4;;
55;2024-01-09;8:30;2024-01-09;9:30;("2024-01-09 8:30","2024-01-09 9:30");4;;
56;2024-01-09;9:00;2024-01-09;18:00;("2024-01-09 9:00","2024-01-09 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
57;2024-01-09;9:45;2024-01-09;12:15;("2024-01-09 9:45","2024-01-09 12:15");4;;
58;2024-01-09;11:00;2024-01-09;13:00;("2024-01-09 11:00","2024-01-09 13:00");6;Wöchentlich am Dienstag bis 17. Dezember, 2024;2024-12-17
59;2024-01-09;12:00;2024-01-09;13:00;("2024-01-09 12:00","2024-01-09 13:00");3;;
60;2024-01-09;12:30;2024-01-09;17:00;("2024-01-09 12:30","2024-01-09 17:00");2;;
61;2024-01-09;12:55;2024-01-09;13:45;("2024-01-09 12:55","2024-01-09 13:45");4;;
62;2024-01-09;14:00;2024-01-09;15:00;("2024-01-09 14:00","2024-01-09 15:00");3;;
63;2024-01-09;14:45;2024-01-09;16:15;("2024-01-09 14:45","2024-01-09 16:15");4;;
64;2024-01-09;15:00;2024-01-09;17:00;("2024-01-09 15:00","2024-01-09 17:00");6;;
65;2024-01-09;16:16;2024-01-09;17:00;("2024-01-09 16:16","2024-01-09 17:00");4;;
66;2024-01-09;16:30;2024-01-09;18:00;("2024-01-09 16:30","2024-01-09 18:00");5;Wöchentlich am Dienstag bis 29. Januar, 2024;2024-01-29
67;2024-01-09;17:30;2024-01-09;20:30;("2024-01-09 17:30","2024-01-09 20:30");6;;
68;2024-01-09;19:00;2024-01-09;21:15;("2024-01-09 19:00","2024-01-09 21:15");2;Wöchentlich am Dienstag;
69;2024-01-09;19:00;2024-01-09;21:00;("2024-01-09 19:00","2024-01-09 21:00");3;Monatlich am 2. Dienstag bis 8. April, 2024;2024-04-08
70;2024-01-10;9:00;2024-01-10;18:00;("2024-01-10 9:00","2024-01-10 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
71;2024-01-10;10:00;2024-01-10;11:00;("2024-01-10 10:00","2024-01-10 11:00");3;;
72;2024-01-10;10:00;2024-01-10;12:00;("2024-01-10 10:00","2024-01-10 12:00");5;;
73;2024-01-10;10:30;2024-01-10;12:00;("2024-01-10 10:30","2024-01-10 12:00");6;;
74;2024-01-10;10:30;2024-01-10;12:30;("2024-01-10 10:30","2024-01-10 12:30");2;Alle 7 Tage bis 28. Mai, 2024;2024-05-28
75;2024-01-10;10:45;2024-01-10;12:00;("2024-01-10 10:45","2024-01-10 12:00");4;;
76;2024-01-10;11:00;2024-01-10;13:00;("2024-01-10 11:00","2024-01-10 13:00");3;Wöchentlich am Mittwoch;
77;2024-01-10;12:00;2024-01-10;13:30;("2024-01-10 12:00","2024-01-10 13:30");5;;
78;2024-01-10;13:00;2024-01-10;14:00;("2024-01-10 13:00","2024-01-10 14:00");6;;
79;2024-01-10;13:00;2024-01-10;14:00;("2024-01-10 13:00","2024-01-10 14:00");2;Wöchentlich am Mittwoch;
80;2024-01-10;13:00;2024-01-10;14:30;("2024-01-10 13:00","2024-01-10 14:30");3;;
81;2024-01-10;13:30;2024-01-10;16:00;("2024-01-10 13:30","2024-01-10 16:00");5;;
82;2024-01-10;13:45;2024-01-10;14:00;("2024-01-10 13:45","2024-01-10 14:00");4;;
83;2024-01-10;14:00;2024-01-10;15:30;("2024-01-10 14:00","2024-01-10 15:30");6;;
84;2024-01-10;14:00;2024-01-10;17:00;("2024-01-10 14:00","2024-01-10 17:00");2;;
85;2024-01-10;14:00;2024-01-10;18:00;("2024-01-10 14:00","2024-01-10 18:00");4;;
86;2024-01-10;14:30;2024-01-10;15:30;("2024-01-10 14:30","2024-01-10 15:30");3;;
87;2024-01-10;17:00;2024-01-10;19:00;("2024-01-10 17:00","2024-01-10 19:00");2;Wöchentlich am Mittwoch;
88;2024-01-10;19:30;2024-01-10;22:30;("2024-01-10 19:30","2024-01-10 22:30");5;Wöchentlich am Mittwoch und Freitag bis 13. Februar, 2024;2024-02-13
89;2024-01-10;20:00;2024-01-10;22:00;("2024-01-10 20:00","2024-01-10 22:00");3;Wöchentlich am Mittwoch;
90;2024-01-11;8:30;2024-01-11;11:30;("2024-01-11 8:30","2024-01-11 11:30");6;;
91;2024-01-11;9:00;2024-01-11;11:30;("2024-01-11 9:00","2024-01-11 11:30");2;Wöchentlich am Donnerstag bis 21. Februar, 2024;2024-02-21
92;2024-01-11;9:00;2024-01-11;18:00;("2024-01-11 9:00","2024-01-11 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
93;2024-01-11;12:00;2024-01-11;13:30;("2024-01-11 12:00","2024-01-11 13:30");4;;
94;2024-01-11;14:00;2024-01-11;15:30;("2024-01-11 14:00","2024-01-11 15:30");6;;
95;2024-01-11;14:00;2024-01-11;18:30;("2024-01-11 14:00","2024-01-11 18:30");4;;
96;2024-01-11;15:15;2024-01-11;17:15;("2024-01-11 15:15","2024-01-11 17:15");3;Wöchentlich am Donnerstag;
97;2024-01-11;16:00;2024-01-11;17:30;("2024-01-11 16:00","2024-01-11 17:30");6;;
98;2024-01-11;16:00;2024-01-11;17:00;("2024-01-11 16:00","2024-01-11 17:00");2;;
99;2024-01-11;17:00;2024-01-11;18:30;("2024-01-11 17:00","2024-01-11 18:30");2;;
100;2024-01-11;17:00;2024-01-11;21:00;("2024-01-11 17:00","2024-01-11 21:00");5;;
101;2024-01-11;18:30;2024-01-11;19:30;("2024-01-11 18:30","2024-01-11 19:30");1;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
102;2024-01-11;18:30;2024-01-11;19:30;("2024-01-11 18:30","2024-01-11 19:30");3;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
103;2024-01-11;18:30;2024-01-11;19:30;("2024-01-11 18:30","2024-01-11 19:30");2;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
104;2024-01-11;18:30;2024-01-11;19:30;("2024-01-11 18:30","2024-01-11 19:30");4;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
105;2024-01-11;19:30;2024-01-11;22:00;("2024-01-11 19:30","2024-01-11 22:00");1;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
106;2024-01-12;8:45;2024-01-12;16:45;("2024-01-12 8:45","2024-01-12 16:45");4;;
107;2024-01-12;9:00;2024-01-12;13:30;("2024-01-12 9:00","2024-01-12 13:30");2;;
108;2024-01-12;9:00;2024-01-12;18:00;("2024-01-12 9:00","2024-01-12 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
109;2024-01-12;9:15;2024-01-12;11:15;("2024-01-12 9:15","2024-01-12 11:15");3;;
110;2024-01-12;9:30;2024-01-12;12:00;("2024-01-12 9:30","2024-01-12 12:00");6;;
111;2024-01-12;9:30;2024-01-12;11:00;("2024-01-12 9:30","2024-01-12 11:00");5;;
112;2024-01-12;9:30;2024-01-12;11:00;("2024-01-12 9:30","2024-01-12 11:00");7;;
113;2024-01-12;11:00;2024-01-12;12:30;("2024-01-12 11:00","2024-01-12 12:30");5;;
114;2024-01-12;13:45;2024-01-12;15:00;("2024-01-12 13:45","2024-01-12 15:00");3;;
115;2024-01-12;19:30;2024-01-12;22:30;("2024-01-12 19:30","2024-01-12 22:30");5;Wöchentlich am Mittwoch und Freitag bis 13. Februar, 2024;2024-02-13
116;2024-01-13;9:30;2024-01-13;12:00;("2024-01-13 9:30","2024-01-13 12:00");1;;
117;2024-01-13;10:00;2024-01-13;17:00;("2024-01-13 10:00","2024-01-13 17:00");5;;
118;2024-01-13;12:00;2024-01-13;18:00;("2024-01-13 12:00","2024-01-13 18:00");2;;
119;2024-01-14;13:00;2024-01-14;18:00;("2024-01-14 13:00","2024-01-14 18:00");1;;
120;2024-01-14;18:00;2024-01-14;20:00;("2024-01-14 18:00","2024-01-14 20:00");3;Wöchentlich am Sonntag bis 24. Februar, 2024;2024-02-24
121;2024-01-15;9:00;2024-01-15;13:00;("2024-01-15 9:00","2024-01-15 13:00");6;;
122;2024-01-15;9:00;2024-01-15;11:00;("2024-01-15 9:00","2024-01-15 11:00");4;;
123;2024-01-15;9:00;2024-01-15;18:00;("2024-01-15 9:00","2024-01-15 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
124;2024-01-15;9:30;2024-01-15;11:00;("2024-01-15 9:30","2024-01-15 11:00");3;;
125;2024-01-15;10:00;2024-01-15;10:30;("2024-01-15 10:00","2024-01-15 10:30");2;;
126;2024-01-15;10:30;2024-01-15;11:30;("2024-01-15 10:30","2024-01-15 11:30");2;;
127;2024-01-15;11:00;2024-01-15;12:00;("2024-01-15 11:00","2024-01-15 12:00");4;Alle 4 Wochen am Montag;
128;2024-01-15;11:00;2024-01-15;12:30;("2024-01-15 11:00","2024-01-15 12:30");5;;
129;2024-01-15;12:45;2024-01-15;15:45;("2024-01-15 12:45","2024-01-15 15:45");3;;
130;2024-01-15;13:00;2024-01-15;14:00;("2024-01-15 13:00","2024-01-15 14:00");6;;
131;2024-01-15;13:00;2024-01-15;16:00;("2024-01-15 13:00","2024-01-15 16:00");4;;
132;2024-01-15;13:30;2024-01-15;15:30;("2024-01-15 13:30","2024-01-15 15:30");5;;
133;2024-01-15;14:00;2024-01-15;18:00;("2024-01-15 14:00","2024-01-15 18:00");6;;
134;2024-01-15;14:00;2024-01-15;15:00;("2024-01-15 14:00","2024-01-15 15:00");2;;
135;2024-01-15;19:00;2024-01-15;21:00;("2024-01-15 19:00","2024-01-15 21:00");2;Monatlich am 3. Montag;
136;2024-01-15;19:30;2024-01-15;22:00;("2024-01-15 19:30","2024-01-15 22:00");5;Alle 2 Wochen am Montag;
137;2024-01-16;8:30;2024-01-16;10:00;("2024-01-16 8:30","2024-01-16 10:00");2;;
138;2024-01-16;8:30;2024-01-16;9:30;("2024-01-16 8:30","2024-01-16 9:30");4;;
139;2024-01-16;9:00;2024-01-16;18:00;("2024-01-16 9:00","2024-01-16 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
140;2024-01-16;9:30;2024-01-16;12:45;("2024-01-16 9:30","2024-01-16 12:45");5;;
141;2024-01-16;9:45;2024-01-16;12:15;("2024-01-16 9:45","2024-01-16 12:15");4;Alle 14 Tage;
142;2024-01-16;10:00;2024-01-16;11:00;("2024-01-16 10:00","2024-01-16 11:00");6;;
143;2024-01-16;10:00;2024-01-16;11:00;("2024-01-16 10:00","2024-01-16 11:00");2;;
144;2024-01-16;10:00;2024-01-16;11:00;("2024-01-16 10:00","2024-01-16 11:00");3;;
145;2024-01-16;11:00;2024-01-16;12:30;("2024-01-16 11:00","2024-01-16 12:30");6;;
146;2024-01-16;11:00;2024-01-16;13:00;("2024-01-16 11:00","2024-01-16 13:00");2;;
147;2024-01-16;11:00;2024-01-16;12:00;("2024-01-16 11:00","2024-01-16 12:00");3;;
148;2024-01-16;12:00;2024-01-16;13:30;("2024-01-16 12:00","2024-01-16 13:30");3;;
149;2024-01-16;13:00;2024-01-16;13:30;("2024-01-16 13:00","2024-01-16 13:30");2;;
150;2024-01-16;15:00;2024-01-16;22:00;("2024-01-16 15:00","2024-01-16 22:00");6;;
151;2024-01-16;15:00;2024-01-16;22:00;("2024-01-16 15:00","2024-01-16 22:00");7;;
152;2024-01-16;15:00;2024-01-16;17:00;("2024-01-16 15:00","2024-01-16 17:00");3;;
153;2024-01-16;15:00;2024-01-16;22:00;("2024-01-16 15:00","2024-01-16 22:00");5;;
154;2024-01-16;16:00;2024-01-16;17:15;("2024-01-16 16:00","2024-01-16 17:15");4;;
155;2024-01-16;17:00;2024-01-16;18:00;("2024-01-16 17:00","2024-01-16 18:00");2;;
156;2024-01-16;18:00;2024-01-16;19:00;("2024-01-16 18:00","2024-01-16 19:00");2;;
157;2024-01-16;18:00;2024-01-16;20:00;("2024-01-16 18:00","2024-01-16 20:00");3;;
158;2024-01-16;18:00;2024-01-16;19:00;("2024-01-16 18:00","2024-01-16 19:00");1;;
159;2024-01-16;19:00;2024-01-16;21:15;("2024-01-16 19:00","2024-01-16 21:15");2;Wöchentlich am Dienstag;
160;2024-01-17;9:00;2024-01-17;10:00;("2024-01-17 9:00","2024-01-17 10:00");2;;
161;2024-01-17;9:00;2024-01-17;10:00;("2024-01-17 9:00","2024-01-17 10:00");3;;
162;2024-01-17;9:00;2024-01-17;18:00;("2024-01-17 9:00","2024-01-17 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
163;2024-01-17;9:25;2024-01-17;12:00;("2024-01-17 9:25","2024-01-17 12:00");6;;
164;2024-01-17;9:30;2024-01-17;12:00;("2024-01-17 9:30","2024-01-17 12:00");4;;
165;2024-01-17;10:00;2024-01-17;11:00;("2024-01-17 10:00","2024-01-17 11:00");3;;
166;2024-01-17;10:00;2024-01-17;12:00;("2024-01-17 10:00","2024-01-17 12:00");7;;
167;2024-01-17;10:30;2024-01-17;12:30;("2024-01-17 10:30","2024-01-17 12:30");2;Alle 7 Tage bis 28. Mai, 2024;2024-05-28
168;2024-01-17;11:00;2024-01-17;13:00;("2024-01-17 11:00","2024-01-17 13:00");3;Wöchentlich am Mittwoch;
169;2024-01-17;11:00;2024-01-17;13:00;("2024-01-17 11:00","2024-01-17 13:00");5;;
170;2024-01-17;12:45;2024-01-17;16:45;("2024-01-17 12:45","2024-01-17 16:45");4;;
171;2024-01-17;13:00;2024-01-17;14:00;("2024-01-17 13:00","2024-01-17 14:00");6;;
172;2024-01-17;13:00;2024-01-17;14:00;("2024-01-17 13:00","2024-01-17 14:00");2;Wöchentlich am Mittwoch;
173;2024-01-17;13:00;2024-01-17;18:00;("2024-01-17 13:00","2024-01-17 18:00");3;;
174;2024-01-17;14:30;2024-01-17;15:30;("2024-01-17 14:30","2024-01-17 15:30");2;;
175;2024-01-17;15:30;2024-01-17;17:00;("2024-01-17 15:30","2024-01-17 17:00");2;;
176;2024-01-17;17:00;2024-01-17;18:00;("2024-01-17 17:00","2024-01-17 18:00");2;;
177;2024-01-17;17:00;2024-01-17;19:00;("2024-01-17 17:00","2024-01-17 19:00");4;;
178;2024-01-17;17:15;2024-01-17;21:00;("2024-01-17 17:15","2024-01-17 21:00");6;;
179;2024-01-17;18:00;2024-01-17;22:00;("2024-01-17 18:00","2024-01-17 22:00");2;Alle 2 Monate am 3. Mittwoch;
180;2024-01-17;18:30;2024-01-17;20:00;("2024-01-17 18:30","2024-01-17 20:00");3;;
181;2024-01-17;19:30;2024-01-17;22:30;("2024-01-17 19:30","2024-01-17 22:30");5;Wöchentlich am Mittwoch und Freitag bis 13. Februar, 2024;2024-02-13
182;2024-01-17;19:30;2024-01-17;21:30;("2024-01-17 19:30","2024-01-17 21:30");1;Alle 2 Wochen am Mittwoch;
183;2024-01-17;20:00;2024-01-17;22:00;("2024-01-17 20:00","2024-01-17 22:00");3;Wöchentlich am Mittwoch;
184;2024-01-18;9:00;2024-01-18;17:00;("2024-01-18 9:00","2024-01-18 17:00");2;;
185;2024-01-18;9:00;2024-01-18;18:00;("2024-01-18 9:00","2024-01-18 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
186;2024-01-18;9:30;2024-01-18;10:30;("2024-01-18 9:30","2024-01-18 10:30");4;;
187;2024-01-18;9:30;2024-01-18;11:00;("2024-01-18 9:30","2024-01-18 11:00");5;;
188;2024-01-18;11:00;2024-01-18;12:15;("2024-01-18 11:00","2024-01-18 12:15");4;;
189;2024-01-18;11:45;2024-01-18;12:45;("2024-01-18 11:45","2024-01-18 12:45");5;;
190;2024-01-18;12:00;2024-01-18;13:00;("2024-01-18 12:00","2024-01-18 13:00");6;;
191;2024-01-18;12:15;2024-01-18;13:00;("2024-01-18 12:15","2024-01-18 13:00");4;;
192;2024-01-18;13:00;2024-01-18;14:00;("2024-01-18 13:00","2024-01-18 14:00");6;;
193;2024-01-18;13:00;2024-01-18;16:45;("2024-01-18 13:00","2024-01-18 16:45");4;;
194;2024-01-18;13:00;2024-01-18;14:00;("2024-01-18 13:00","2024-01-18 14:00");5;;
195;2024-01-18;14:00;2024-01-18;15:30;("2024-01-18 14:00","2024-01-18 15:30");6;;
196;2024-01-18;14:01;2024-01-18;15:14;("2024-01-18 14:01","2024-01-18 15:14");3;;
197;2024-01-18;15:15;2024-01-18;17:15;("2024-01-18 15:15","2024-01-18 17:15");3;Wöchentlich am Donnerstag;
198;2024-01-18;16:30;2024-01-18;18:00;("2024-01-18 16:30","2024-01-18 18:00");5;;
199;2024-01-18;17:00;2024-01-18;18:30;("2024-01-18 17:00","2024-01-18 18:30");2;;
200;2024-01-18;17:00;2024-01-18;18:00;("2024-01-18 17:00","2024-01-18 18:00");4;;
201;2024-01-18;17:30;2024-01-18;18:00;("2024-01-18 17:30","2024-01-18 18:00");6;;
202;2024-01-18;18:00;2024-01-18;21:00;("2024-01-18 18:00","2024-01-18 21:00");6;;
203;2024-01-18;18:00;2024-01-18;21:00;("2024-01-18 18:00","2024-01-18 21:00");5;;
204;2024-01-18;18:30;2024-01-18;19:30;("2024-01-18 18:30","2024-01-18 19:30");1;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
205;2024-01-18;18:30;2024-01-18;19:30;("2024-01-18 18:30","2024-01-18 19:30");3;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
206;2024-01-18;18:30;2024-01-18;19:30;("2024-01-18 18:30","2024-01-18 19:30");2;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
207;2024-01-18;18:30;2024-01-18;19:30;("2024-01-18 18:30","2024-01-18 19:30");4;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
208;2024-01-18;19:30;2024-01-18;22:00;("2024-01-18 19:30","2024-01-18 22:00");1;Wöchentlich am Donnerstag bis 6. März, 2024;2024-03-06
209;2024-01-19;8:00;2024-01-19;9:00;("2024-01-19 8:00","2024-01-19 9:00");3;;
210;2024-01-19;9:00;2024-01-19;12:00;("2024-01-19 9:00","2024-01-19 12:00");2;;
211;2024-01-19;9:00;2024-01-19;10:00;("2024-01-19 9:00","2024-01-19 10:00");4;;
212;2024-01-19;9:00;2024-01-19;18:00;("2024-01-19 9:00","2024-01-19 18:00");1;Wöchentlich am Montag, Dienstag, Mittwoch, Donnerstag und Freitag;
213;2024-01-19;12:00;2024-01-19;14:00;("2024-01-19 12:00","2024-01-19 14:00");2;;
214;2024-01-19;15:00;2024-01-19;16:00;("2024-01-19 15:00","2024-01-19 16:00");4;;
215;2024-01-19;18:00;2024-01-19;20:30;("2024-01-19 18:00","2024-01-19 20:30");2;Alle 2 Wochen am Freitag;
216;2024-01-19;18:00;2024-01-19;21:30;("2024-01-19 18:00","2024-01-19 21:30");4;;
217;2024-01-19;18:30;2024-01-19;20:30;("2024-01-19 18:30","2024-01-19 20:30");3;;
218;2024-01-19;19:30;2024-01-19;22:30;("2024-01-19 19:30","2024-01-19 22:30");5;Wöchentlich am Mittwoch und Freitag bis 13. Februar, 2024;2024-02-13
219;2024-01-20;10:00;2024-01-20;19:00;("2024-01-20 10:00","2024-01-20 19:00");5;;
220;2024-01-20;13:00;2024-01-20;16:00;("2024-01-20 13:00","2024-01-20 16:00");1;;
221;2024-01-20;15:00;2024-01-20;18:00;("2024-01-20 15:00","2024-01-20 18:00");6;;
222;2024-01-21;10:00;2024-01-21;16:00;("2024-01-21 10:00","2024-01-21 16:00");5;;
223;2024-01-21;12:00;2024-01-21;15:00;("2024-01-21 12:00","2024-01-21 15:00");3;;
224;2024-01-21;13:00;2024-01-21;18:00;("2024-01-21 13:00","2024-01-21 18:00");1;;
225;2024-01-21;13:00;2024-01-21;18:00;("2024-01-21 13:00","2024-01-21 18:00");2;;
226;2024-01-21;13:00;2024-01-21;18:00;("2024-01-21 13:00","2024-01-21 18:00");6;;
227;2024-01-21;13:00;2024-01-21;18:00;("2024-01-21 13:00","2024-01-21 18:00");7;;
228;2024-01-21;18:00;2024-01-21;20:00;("2024-01-21 18:00","2024-01-21 20:00");3;Wöchentlich am Sonntag bis 24. Februar, 2024;2024-02-24
229;2024-01-22;8:00;2024-01-22;12:30;("2024-01-22 8:00","2024-01-22 12:30");4;;
230;2024-01-22;9:00;2024-01-22;12:00;("2024-01-22 9:00","2024-01-22 12:00");5;;
